Unnamed: 0,source,question,answer,img_id,landmark_location,landmark_color
3649,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gles4cb071u30p914fw,center-right; lower-rigth,
3864,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glfs4dr071u4szgddq4,center-left; lower-left,
4120,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glgs4ff071u8us5dw3j,upper-center,
4155,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glgs4fn071u5ifkd24r,center; center-left,
4202,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glgs4fz071ucke45065,center-left; upper-center; upper-left,
4756,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glis4jj071ub5c57d9g,lower-center,
5516,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glms4oj071uf2agdqy3,none,
5546,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glms4or071u3gr770w6,none,
5625,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glns4pb071u9oqm4npr,upper-center; upper-left,
5645,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glns4pf071uaocdg34x,center; lower-center,
5943,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glos4rb071uhwed5mbb,center; lower-center,
5956,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glos4rf071u3785a7n1,upper-center; upper-left,
6010,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glos4rr071u0ozt8mdm,center; lower-center; upper-center,
6021,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glps4rv071u8ch490cp,center; center-right,
6045,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glps4rz071u6kspddxw,upper-center; upper-right,
6226,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glps4t7071u9hr68bum,center-right; upper-right,
6270,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glqs4tf071uebf256qf,upper-center,
